Pesquisa livre|999|TW_|
Tombo|002|REF_|
Título|10|TI_|
Título / Denominação|50|TID_|
Tipo (Assinatura, Etiqueta, Placa...)|720|TIN_|
Localização (Base frente, Verso...)|720|LIN_|
Transcrição/Conteúdo (O texto escrito)|720|TRI_|
Material/Técnica da inscrição|720|TCI_|
